top - 11:33:37 up  2:51,  0 users,  load average: 0.39, 2.27, 3.86
Tasks: 384 total,   1 running, 383 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.7 us,  1.1 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  64306.6 total,  57299.7 free,   2799.8 used,   4207.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  60788.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4280 root      20   0 1683312  49188  39532 S   0.0   0.1   0:00.69 calico-+
   4281 root      20   0 2570912  64400  46320 S   0.0   0.1   3:27.11 calico-+
   4283 root      20   0 1757812  50228  39780 S   0.0   0.1   0:00.71 calico-+
   4284 root      20   0 2052740  54224  42536 S   0.0   0.1   0:00.89 calico-+
   4286 root      20   0 1905020  47392  38116 S   0.0   0.1   0:00.50 calico-+
   4287 root      20   0 1905020  52000  40868 S   0.0   0.1   0:00.78 calico-+
   4563 root      20   0    1768      4      0 S   0.0   0.0   0:02.39 bird6
   4564 root      20   0    1888   1384   1236 S   0.0   0.0   0:02.50 bird
   4737 root      20   0 1238352  13772  10176 S   0.0   0.0   0:01.05 contain+
   4761 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
   4883 root      20   0 1238352  13928  10192 S   0.0   0.0   0:07.30 contain+
   4906 user      20   0  755276  50536  33708 S   0.0   0.1   0:49.06 metrics+
  10359 root      20   0 1238608  13548  10060 S   0.0   0.0   0:00.89 contain+
  10382 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
  10460 root      20   0 1238352  14184  10208 S   0.0   0.0   0:07.23 contain+
  11105 root      20   0 1238096  13304   9896 S   0.0   0.0   0:00.93 contain+
  11136 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
  11230 root      20   0 1238352  14072  10384 S   0.0   0.0   0:07.58 contain+
  11255 1337      20   0 5071624 111856  64444 S   0.0   0.2   0:33.73 pilot-d+
 215738 root      20   0 1238096  13184   9608 S   0.0   0.0   0:00.76 contain+
 215767 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
 216274 root      20   0 1238608  14652   9912 S   0.0   0.0   0:32.36 contain+
 216340 root      20   0  794636  30168  13208 S   0.0   0.0  14:25.74 checkou+
 216390 root      20   0 1238352  14072  10344 S   0.0   0.0   0:05.06 contain+
 216413 1337      20   0  757032  46608  31936 S   0.0   0.1   0:20.50 pilot-a+
 216466 1337      20   0  209680  82560  38284 S   0.0   0.1   9:45.78 envoy
 216531 root      20   0 1238352  13828  10228 S   0.0   0.0   0:00.76 contain+
 216578 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 216888 root      20   0 1238416  14544  10356 S   0.0   0.0   0:05.39 contain+
 216918 systemd+  20   0   51784  18072  14148 S   0.0   0.0   1:21.75 redis-s+
 216965 root      20   0 1238352  13748  10108 S   0.0   0.0   0:05.12 contain+
 216987 1337      20   0  756776  45920  31740 S   0.0   0.1   0:14.00 pilot-a+
 217022 1337      20   0  183060  56880  38204 S   0.0   0.1   1:45.19 envoy
 217871 root      20   0 1238352  13684  10220 S   0.0   0.0   0:00.74 contain+
 217895 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 218058 root      20   0 1238608  14304  10228 S   0.0   0.0   2:42.99 contain+
 218082 root      20   0  263884  53068  33128 S   0.0   0.1  12:25.21 node
 218110 root      20   0 1238352  13772  10220 S   0.0   0.0   0:05.14 contain+
 218134 1337      20   0  756776  45372  30932 S   0.0   0.1   0:13.18 pilot-a+
 218166 1337      20   0  201492  75976  38592 S   0.0   0.1  12:29.33 envoy
 219261 root      20   0 1238352  13736  10288 S   0.0   0.0   0:00.74 contain+
 219287 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 219545 root      20   0 1238608  15268  10480 S   0.0   0.0   0:30.69 contain+
 219603 root      20   0 1176416  52496  17348 S   0.0   0.1   0:58.79 python
 219641 root      20   0 1238608  13720  10224 S   0.0   0.0   0:05.25 contain+
 219665 1337      20   0  757544  48524  31656 S   0.0   0.1   0:13.05 pilot-a+
 219699 1337      20   0  184080  58128  38416 S   0.0   0.1   0:49.23 envoy
 220358 root      20   0 1238352  13456   9908 S   0.0   0.0   0:00.66 contain+
 220360 root      20   0 1238352  13720  10160 S   0.0   0.0   0:00.75 contain+
 220407 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 220408 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
 220548 root      20   0 1238352  13364   9916 S   0.0   0.0   0:00.69 contain+
 220590 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
