top - 15:14:08 up 40 min,  0 users,  load average: 0.85, 3.14, 5.16
Tasks: 382 total,   1 running, 381 sleeping,   0 stopped,   0 zombie
%Cpu(s):  6.3 us,  4.8 sy,  0.0 ni, 87.4 id,  0.0 wa,  0.0 hi,  1.5 si,  0.0 st
MiB Mem :  64306.6 total,  57925.5 free,   2678.1 used,   3703.0 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  60917.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    169 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    170 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    174 root      20   0       0      0      0 I   0.0   0.0   0:00.27 kworker+
    176 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    177 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    180 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    182 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    196 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    271 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    272 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    273 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    308 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    324 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
    356 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 raid5wq
    403 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    406 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    407 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    408 root      20   0       0      0      0 S   0.0   0.0   0:00.49 jbd2/dm+
    409 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    438 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    441 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    444 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    449 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
    451 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    454 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    463 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    474 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
    477 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    492 root      19  -1  117548  59224  58072 S   0.0   0.1   0:03.07 systemd+
    494 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    506 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    517 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    520 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    530 root      20   0   22652   6124   4080 S   0.0   0.0   0:01.33 systemd+
    699 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kaluad
    700 root      20   0       0      0      0 I   0.0   0.0   0:00.31 kworker+
    701 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_+
    702 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpathd
    703 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_+
    704 root      rt   0  280136  17948   8208 S   0.0   0.0   0:00.23 multipa+
    714 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
    719 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
    724 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop2
    732 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
    734 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    735 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    738 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop4
    739 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop5
    743 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop6
    745 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop7
    749 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop8
    751 root       0 -20       0      0      0 S   0.0   0.0   0:00.07 loop9
    753 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop10
    819 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
    829 systemd+  20   0   27400   8076   7116 S   0.0   0.0   0:00.14 systemd+
    831 systemd+  20   0   25616  14080   9036 S   0.0   0.0   0:03.83 systemd+
    848 root      20   0  235708   7368   6504 S   0.0   0.0   0:00.51 account+
    854 message+  20   0    8036   5124   3932 S   0.0   0.0   0:01.58 dbus-da+
    865 root      20   0 2505280  25988  17996 S   0.0   0.0   0:00.75 google_+
    869 _chrony   20   0   13016   2700   2380 S   0.0   0.0   0:00.00 chronyd
    871 root      20   0   81972   3776   3472 S   0.0   0.0   0:00.16 irqbala+
    872 _chrony   20   0    4832   2172   1972 S   0.0   0.0   0:00.00 chronyd
    874 root      20   0 4676252 127904  70720 S   0.0   0.2   2:26.93 kubelet
    876 root      20   0   29668  18796  10400 S   0.0   0.0   0:00.29 network+
    877 root      20   0  234444   8756   6616 S   0.0   0.0   0:00.19 polkitd
    878 syslog    20   0  224344   6464   3852 S   0.0   0.0   0:01.13 rsyslogd
    881 root      20   0 2737776  40652  26900 S   0.0   0.1   0:03.30 snapd
    900 root      20   0  393320  12276  10368 S   0.0   0.0   0:00.77 udisksd
    904 daemon    20   0    3796   2240   2064 S   0.0   0.0   0:00.00 atd
    908 root      20   0 2916164  66196  36528 S   0.0   0.1   0:47.40 contain+
   1181 root      20   0  315112  11688   9884 S   0.0   0.0   0:00.12 ModemMa+
   1183 root      20   0 2575008  20728  14428 S   0.0   0.0   0:00.44 google_+
   1190 root      20   0    5600   2244   2128 S   0.0   0.0   0:00.00 agetty
   1193 root      20   0  107924  20832  13164 S   0.0   0.0   0:00.09 unatten+
   1196 root      20   0    5828   1740   1624 S   0.0   0.0   0:00.00 agetty
   1564 root      20   0   12188   7380   6452 S   0.0   0.0   0:00.02 sshd
   1579 root      20   0   17548   8020   7088 S   0.0   0.0   0:00.56 systemd+
   1583 root      20   0    6816   2816   2608 S   0.0   0.0   0:00.00 cron
   1636 root      20   0    2488    572    512 S   0.0   0.0   0:00.23 none
   2261 root      20   0 2424108  55812  43836 S   0.0   0.1   0:01.17 google_+
   2262 root      20   0 2997056 140644  97740 S   0.0   0.2   0:13.81 otelops+
   2508 root      20   0 1238352  13368   9976 S   0.0   0.0   0:00.21 contain+
   2530 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
   2555 root      20   0 1238352  13812  10168 S   0.0   0.0   0:01.61 contain+
   2578 root      20   0 1274856  41804  31700 S   0.0   0.1   0:01.35 kube-pr+
   2806 root      20   0 1238096  13292   9668 S   0.0   0.0   0:00.26 contain+
   2829 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
   2930 root      20   0 1238352  13120   9516 S   0.0   0.0   0:00.24 contain+
   2965 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
   3002 root      20   0 1238352  13624  10060 S   0.0   0.0   0:00.24 contain+
   3041 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
   3770 root      20   0 1238352  13220   9736 S   0.0   0.0   0:00.25 contain+
   3815 root      20   0 1238352  13596   9876 S   0.0   0.0   0:00.21 contain+
   3848 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
   3864 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
   4261 root      20   0 1238352  14352  10368 S   0.0   0.0   0:12.01 contain+
   4328 root      20   0  794688  30188  13172 S   0.0   0.0   5:36.43 checkou+
   4429 root      20   0 1238352  13712  10152 S   0.0   0.0   0:00.26 contain+
   4493 root      20   0 1238352  14516  10340 S   0.0   0.0   0:55.66 contain+
   4542 root      20   0 1238352  13564  10004 S   0.0   0.0   0:00.25 contain+
   4569 root      20   0 1238608  13312   9640 S   0.0   0.0   0:01.58 contain+
   4665 65535     20   0    1012      4      0 S   0.0   0.0   0:00.05 pause
   4734 root      20   0  272364  61128  33052 S   0.0   0.1   4:35.52 node
   4757 1337      20   0  757032  45496  31660 S   0.0   0.1   0:07.82 pilot-a+
   4764 65535     20   0    1012      4      0 S   0.0   0.0   0:00.05 pause
   5143 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5145 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
   5168 root      20   0 1238352  13528   9804 S   0.0   0.0   0:01.63 contain+
   5277 1337      20   0  757032  45832  31660 S   0.0   0.1   0:05.51 pilot-a+
   5294 root      20   0 1238352  13364   9832 S   0.0   0.0   0:00.26 contain+
   5370 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
   5374 root      20   0 1238352  13720  10256 S   0.0   0.0   0:00.24 contain+
   5501 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
   5657 root      20   0 1238096  13692  10056 S   0.0   0.0   0:00.26 contain+
   5744 root      20   0 1238352  14236  10560 S   0.0   0.0   0:00.22 contain+
   5749 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
   5828 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
   5994 root      20   0 1238352  13372   9996 S   0.0   0.0   0:01.76 contain+
   6059 root      20   0 1238352  14200  10432 S   0.0   0.0   0:00.23 contain+
   6075 1337      20   0 5071688 116156  68548 S   0.0   0.2   0:10.86 pilot-d+
   6135 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6143 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
   6263 root      20   0 1238352  14292  10248 S   0.0   0.0   0:09.73 contain+
   6344 root      20   0 1176304  52616  17500 S   0.0   0.1   0:26.15 python
   6441 root      20   0 1238608  14564  10484 S   0.0   0.0   0:09.73 contain+
   6502 root      20   0  272316  61084  32916 S   0.0   0.1   0:32.27 node
   6663 root      20   0 1238608  13992  10068 S   0.0   0.0   0:01.61 contain+
   6670 root      20   0 1238352  14004  10256 S   0.0   0.0   0:01.58 contain+
   6733 root      20   0 1238352  14028  10284 S   0.0   0.0   0:04.71 contain+
   6735 root      20   0 1238352  14656  10492 S   0.0   0.0   0:08.10 contain+
   6785 1337      20   0  757032  45808  31876 S   0.0   0.1   0:04.78 pilot-a+
   6800 1337      20   0  756776  45928  31804 S   0.0   0.1   0:05.05 pilot-a+
   6815 root      20   0 1551240  80640  18296 S   0.0   0.1   9:22.94 python
   6826 root      20   0  725924  23284  13160 S   0.0   0.0   5:04.55 server
   6888 root      20   0 1238608  13712   9716 S   0.0   0.0   0:27.15 contain+
   6974 root      20   0 2732440  61948  23868 S   0.0   0.1   4:43.29 cartser+
   7009 root      20   0 1238608  14240  10168 S   0.0   0.0   0:01.61 contain+
   7161 root      20   0 1238608  13992  10248 S   0.0   0.0   0:01.58 contain+
   7187 root      20   0 1238352  13860  10260 S   0.0   0.0   0:01.66 contain+
   7277 1337      20   0  756776  46120  31392 S   0.0   0.1   0:04.89 pilot-a+
   7283 1337      20   0  757288  45388  31320 S   0.0   0.1   0:05.08 pilot-a+
   7661 root      20   0 1238608  14096  10384 S   0.0   0.0   0:12.67 contain+
   7732 root      20   0 3665796 142956  24324 S   0.0   0.2   2:16.74 java
   7828 root      20   0 1238352  14768  10632 S   0.0   0.0   0:19.29 contain+
   7857 root      20   0  724884  22484  12844 S   0.0   0.0   1:09.25 shippin+
   7887 root      20   0 1238352  14312  10388 S   0.0   0.0   0:01.59 contain+
   7918 root      20   0 1238352  13640  10124 S   0.0   0.0   0:01.60 contain+
   7938 systemd+  20   0   53832  18252  14272 S   0.0   0.0   0:29.42 redis-s+
   7950 1337      20   0  756776  45572  31508 S   0.0   0.1   0:04.47 pilot-a+
   8034 root      20   0 1238608  13728  10136 S   0.0   0.0   0:01.59 contain+
   8063 1337      20   0  756776  44920  31224 S   0.0   0.1   0:05.07 pilot-a+
   8135 root      20   0 1238352  13520   9748 S   0.0   0.0   0:01.60 contain+
   8169 1337      20   0  756776  46384  31952 S   0.0   0.1   0:04.84 pilot-a+
   8397 1337      20   0  201556  74000  37860 S   0.0   0.1   3:42.18 envoy
   8500 root      20   0    4396    824    756 S   0.0   0.0   0:00.07 runsvdir
   8559 1337      20   0  188180  61912  38052 S   0.0   0.1   4:34.19 envoy
   8656 root      20   0 1238096  13924  10200 S   0.0   0.0   0:00.26 contain+
   8706 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
   8805 root      20   0 1238608  13180   9804 S   0.0   0.0   0:01.64 contain+
   8944 1337      20   0  184084  57768  38116 S   0.0   0.1   0:19.39 envoy
   8945 1337      20   0  185104  58680  37960 S   0.0   0.1   0:31.56 envoy
   8965 1337      20   0  188176  61936  38348 S   0.0   0.1   9:23.16 envoy
   8970 root      20   0    4244    820    752 S   0.0   0.0   0:00.00 runsv
   8971 root      20   0    4244    892    820 S   0.0   0.0   0:00.00 runsv
   8972 root      20   0    4244    884    820 S   0.0   0.0   0:00.00 runsv
   8973 root      20   0    4244    820    752 S   0.0   0.0   0:00.00 runsv
   8974 root      20   0    4244    872    804 S   0.0   0.0   0:00.00 runsv
   8975 root      20   0    4244    824    756 S   0.0   0.0   0:00.00 runsv
   8976 root      20   0    4244    828    760 S   0.0   0.0   0:00.00 runsv
   8977 root      20   0    4244    892    824 S   0.0   0.0   0:00.00 runsv
   8979 root      20   0 1535848  48036  37868 S   0.0   0.1   0:00.23 calico-+
   8980 root      20   0 1757300  53840  42044 S   0.0   0.1   0:00.30 calico-+
   8982 root      20   0 1536104  45924  36056 S   0.0   0.1   0:00.18 calico-+
