timestamp,service,total,2xx,4xx,5xx
2026-09-13T13:33:09Z,adservice,35274,35252,0,0
2026-09-13T13:33:09Z,cartservice,148996,148921,0,0
2026-09-13T13:33:09Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:09Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:09Z,emailservice,3761,3761,0,0
2026-09-13T13:33:09Z,frontend,145302,144814,0,0
2026-09-13T13:33:09Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:09Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:09Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:09Z,redis-cart,0,0,0,0
2026-09-13T13:33:09Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:10Z,adservice,35274,35252,0,0
2026-09-13T13:33:10Z,cartservice,148996,148921,0,0
2026-09-13T13:33:10Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:10Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:10Z,emailservice,3761,3761,0,0
2026-09-13T13:33:10Z,frontend,145302,144814,0,0
2026-09-13T13:33:10Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:10Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:10Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:10Z,redis-cart,0,0,0,0
2026-09-13T13:33:10Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:11Z,adservice,35274,35252,0,0
2026-09-13T13:33:11Z,cartservice,148996,148921,0,0
2026-09-13T13:33:11Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:11Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:11Z,emailservice,3761,3761,0,0
2026-09-13T13:33:11Z,frontend,145302,144814,0,0
2026-09-13T13:33:11Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:11Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:11Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:11Z,redis-cart,0,0,0,0
2026-09-13T13:33:11Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:12Z,adservice,35274,35252,0,0
2026-09-13T13:33:12Z,cartservice,148996,148921,0,0
2026-09-13T13:33:12Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:12Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:12Z,emailservice,3761,3761,0,0
2026-09-13T13:33:12Z,frontend,145302,144814,0,0
2026-09-13T13:33:12Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:12Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:12Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:12Z,redis-cart,0,0,0,0
2026-09-13T13:33:12Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:13Z,adservice,35274,35252,0,0
2026-09-13T13:33:13Z,cartservice,148996,148921,0,0
2026-09-13T13:33:13Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:13Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:13Z,emailservice,3761,3761,0,0
2026-09-13T13:33:13Z,frontend,145302,144814,0,0
2026-09-13T13:33:13Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:13Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:13Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:13Z,redis-cart,0,0,0,0
2026-09-13T13:33:13Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:14Z,adservice,35274,35252,0,0
2026-09-13T13:33:14Z,cartservice,148996,148921,0,0
2026-09-13T13:33:14Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:14Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:14Z,emailservice,3761,3761,0,0
2026-09-13T13:33:14Z,frontend,145302,144814,0,0
2026-09-13T13:33:14Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:14Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:14Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:14Z,redis-cart,0,0,0,0
2026-09-13T13:33:14Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:15Z,adservice,35274,35252,0,0
2026-09-13T13:33:15Z,cartservice,148996,148921,0,0
2026-09-13T13:33:15Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:15Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:15Z,emailservice,3761,3761,0,0
2026-09-13T13:33:15Z,frontend,145302,144814,0,0
2026-09-13T13:33:15Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:15Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:15Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:15Z,redis-cart,0,0,0,0
2026-09-13T13:33:15Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:16Z,adservice,35274,35252,0,0
2026-09-13T13:33:16Z,cartservice,148996,148921,0,0
2026-09-13T13:33:16Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:16Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:16Z,emailservice,3761,3761,0,0
2026-09-13T13:33:16Z,frontend,145302,144814,0,0
2026-09-13T13:33:16Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:16Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:16Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:16Z,redis-cart,0,0,0,0
2026-09-13T13:33:16Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:17Z,adservice,35274,35252,0,0
2026-09-13T13:33:17Z,cartservice,148996,148921,0,0
2026-09-13T13:33:17Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:17Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:17Z,emailservice,3761,3761,0,0
2026-09-13T13:33:17Z,frontend,145302,144814,0,0
2026-09-13T13:33:17Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:17Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:17Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:17Z,redis-cart,0,0,0,0
2026-09-13T13:33:17Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:18Z,adservice,35274,35252,0,0
2026-09-13T13:33:18Z,cartservice,148996,148921,0,0
2026-09-13T13:33:18Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:18Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:18Z,emailservice,3761,3761,0,0
2026-09-13T13:33:18Z,frontend,145302,144814,0,0
2026-09-13T13:33:18Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:18Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:18Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:18Z,redis-cart,0,0,0,0
2026-09-13T13:33:18Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:19Z,adservice,35274,35252,0,0
2026-09-13T13:33:19Z,cartservice,148996,148921,0,0
2026-09-13T13:33:19Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:19Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:19Z,emailservice,3761,3761,0,0
2026-09-13T13:33:19Z,frontend,145302,144814,0,0
2026-09-13T13:33:19Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:19Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:19Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:19Z,redis-cart,0,0,0,0
2026-09-13T13:33:19Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:20Z,adservice,35274,35252,0,0
2026-09-13T13:33:20Z,cartservice,148996,148921,0,0
2026-09-13T13:33:20Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:20Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:20Z,emailservice,3761,3761,0,0
2026-09-13T13:33:20Z,frontend,145302,144814,0,0
2026-09-13T13:33:20Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:20Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:20Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:20Z,redis-cart,0,0,0,0
2026-09-13T13:33:20Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:21Z,adservice,35274,35252,0,0
2026-09-13T13:33:21Z,cartservice,148996,148921,0,0
2026-09-13T13:33:21Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:21Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:21Z,emailservice,3761,3761,0,0
2026-09-13T13:33:21Z,frontend,145302,144814,0,0
2026-09-13T13:33:21Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:21Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:21Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:21Z,redis-cart,0,0,0,0
2026-09-13T13:33:21Z,shippingservice,60176,60176,0,0
2026-09-13T13:33:22Z,adservice,35274,35252,0,0
2026-09-13T13:33:22Z,cartservice,148996,148921,0,0
2026-09-13T13:33:22Z,checkoutservice,3761,3761,0,0
2026-09-13T13:33:22Z,currencyservice,230548,230530,0,0
2026-09-13T13:33:22Z,emailservice,3761,3761,0,0
2026-09-13T13:33:22Z,frontend,145302,144814,0,0
2026-09-13T13:33:22Z,paymentservice,3761,3761,0,0
2026-09-13T13:33:22Z,productcatalogservice,658349,658305,0,0
2026-09-13T13:33:22Z,recommendationservice,91919,91833,0,0
2026-09-13T13:33:22Z,redis-cart,0,0,0,0
