top - 10:34:47 up  1:52, 12 users,  load average: 0.00, 0.01, 0.10
Tasks: 165 total,   1 running, 164 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.8 sy,  0.0 ni, 99.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  32100.5 total,  30687.5 free,    379.6 used,   1033.4 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  31316.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    668 _chrony   20   0    4832   2152   1952 S   0.0   0.0   0:00.00 chronyd
    676 root      20   0  393268  12092  10308 S   0.0   0.0   0:00.10 udisksd
    679 daemon    20   0    3796   2244   2068 S   0.0   0.0   0:00.00 atd
    760 root      20   0  315104  11300   9592 S   0.0   0.0   0:00.12 ModemMa+
    762 root      20   0 2278544  21740  15108 S   0.0   0.1   0:00.82 google_+
    769 root      20   0  107924  21088  13428 S   0.0   0.1   0:00.06 unatten+
    989 root      20   0   12188   7496   6560 S   0.0   0.0   0:00.04 sshd
    998 root      20   0   17368   7796   6852 S   0.0   0.0   0:00.26 systemd+
   1001 root      20   0    6816   2996   2732 S   0.0   0.0   0:00.00 cron
   1035 root      20   0    5600   2236   2116 S   0.0   0.0   0:00.00 agetty
   1037 root      20   0    5828   1844   1728 S   0.0   0.0   0:00.00 agetty
   1247 root      20   0 2054680  55776  44152 S   0.0   0.2   0:02.01 google_+
   1248 root      20   0 2404996 138220  97272 S   0.0   0.4   0:10.30 otelops+
   4549 root      20   0       0      0      0 I   0.0   0.0   0:00.56 kworker+
   4877 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
   5894 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
   6594 root      20   0  400072  42900  23212 S   0.0   0.1   0:00.51 fwupd
   6602 root      20   0  241212   9368   8300 S   0.0   0.0   0:00.04 upowerd
   8206 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
   8901 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
  10533 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
